time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,elevation,city,rain_condition,uv_index,kualitas_udara,kelembapan,tekanan_udara
2024-04-01,20.62,24.43,23.11,20.6,16.47,23.17,8.8,197.54,6.76,25,Surabaya,Hujan,8,Sedang,87,1005
2024-04-02,34.66,22.68,32.17,23.57,22.64,9.79,4.93,249.08,6.82,50,Surabaya,Hujan,9,Baik,81,1012
2024-04-03,33.12,22.26,36.63,23.8,3.83,7.9,18.72,234.71,6.66,25,Surabaya,Tidak Hujan,7,Baik,71,1012
2024-04-04,32.19,25.8,32.85,22.81,1.17,14.79,17.91,80.74,4.48,10,Surabaya,Hujan,9,Baik,79,1015
2024-04-05,29.09,25.86,32.25,23.85,2.59,24.71,7.39,256.38,3.06,150,Surabaya,Tidak Hujan,9,Baik,73,1007
2024-04-06,29.5,23.77,32.74,23.3,4.42,12.72,13.78,206.87,4.02,25,Surabaya,Hujan,8,Baik,78,1006
2024-04-07,32.55,25.29,32.73,22.76,2.02,24.08,7.91,245.0,6.01,200,Surabaya,Tidak Hujan,7,Baik,74,1013
2024-04-08,30.34,22.95,33.25,23.94,2.37,17.15,13.23,266.38,3.15,150,Surabaya,Tidak Hujan,9,Baik,75,1014
2024-04-09,30.13,24.0,33.56,22.61,0.0,17.06,14.88,252.41,6.29,200,Surabaya,Tidak Hujan,9,Baik,74,1014
2024-04-10,32.48,22.82,34.19,23.8,1.48,16.73,12.63,205.13,6.28,150,Surabaya,Tidak Hujan,7,Baik,74,1013
2024-04-11,29.8,25.02,32.54,23.97,0.0,22.04,7.63,265.8,3.22,10,Surabaya,Tidak Hujan,9,Baik,75,1011
2024-04-12,28.84,22.94,31.75,22.75,11.51,20.35,16.14,249.27,6.86,10,Surabaya,Tidak Hujan,8,Baik,84,1008
2024-04-13,31.65,25.29,32.96,22.99,1.48,15.77,15.74,271.39,3.61,25,Surabaya,Tidak Hujan,9,Baik,74,1006
2024-04-14,32.95,22.62,35.0,23.51,1.52,15.86,18.06,243.68,6.89,150,Surabaya,Tidak Hujan,9,Baik,75,1008
2024-04-15,31.55,22.28,34.42,23.63,0.0,15.82,15.3,251.64,6.72,25,Surabaya,Tidak Hujan,8,Baik,70,1011
2024-04-16,33.15,23.01,35.48,24.07,0.0,14.39,15.53,243.76,6.97,200,Surabaya,Tidak Hujan,8,Baik,72,1012
2024-04-17,32.93,22.28,35.53,23.88,0.0,12.19,13.66,238.16,6.95,200,Surabaya,Tidak Hujan,7,Baik,71,1012
2024-04-18,34.02,22.42,35.97,24.16,0.0,11.23,14.3,241.97,7.0,150,Surabaya,Tidak Hujan,8,Baik,72,1010
2024-04-19,34.08,22.97,35.98,24.18,0.0,12.01,13.91,241.13,6.97,10,Surabaya,Tidak Hujan,7,Baik,73,1010
2024-04-20,33.74,22.99,35.84,24.18,0.0,10.66,13.33,238.2,6.86,10,Surabaya,Tidak Hujan,7,Baik,74,1012
2024-04-21,34.12,23.14,35.99,24.23,0.0,10.99,14.54,233.09,6.98,25,Surabaya,Tidak Hujan,7,Baik,73,1011
2024-04-22,34.52,22.94,36.03,24.3,0.0,12.05,14.73,236.41,7.03,25,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-04-23,34.59,23.36,36.19,24.4,0.0,11.51,14.38,241.24,7.0,50,Surabaya,Tidak Hujan,7,Baik,72,1011
2024-04-24,34.8,22.93,36.14,24.25,0.0,10.74,13.88,239.38,6.96,50,Surabaya,Tidak Hujan,7,Baik,71,1011
2024-04-25,34.61,22.65,35.92,24.15,0.0,10.64,13.52,240.23,6.95,50,Surabaya,Tidak Hujan,7,Baik,72,1011
2024-04-26,34.78,22.84,36.01,24.22,0.0,10.65,13.68,237.93,6.97,200,Surabaya,Tidak Hujan,7,Baik,72,1012
2024-04-27,34.88,22.86,36.02,24.25,0.0,10.66,13.56,238.41,6.97,200,Surabaya,Tidak Hujan,7,Baik,72,1012
2024-04-28,34.9,22.8,36.0,24.26,0.0,10.7,13.65,241.71,6.96,150,Surabaya,Tidak Hujan,7,Baik,72,1012
2024-04-29,34.82,22.67,35.91,24.18,0.0,10.59,13.43,240.42,6.95,150,Surabaya,Tidak Hujan,7,Baik,72,1011
2024-04-30,34.73,22.66,35.88,24.16,0.0,10.7,13.45,240.45,6.96,150,Surabaya,Tidak Hujan,7,Baik,72,1011
2024-05-01,34.89,22.64,36.02,24.24,0.0,10.52,13.33,240.17,6.96,25,Surabaya,Tidak Hujan,7,Baik,72,1011
2024-05-02,34.91,22.68,36.0,24.25,0.0,10.45,13.27,239.5,6.95,25,Surabaya,Tidak Hujan,7,Baik,72,1011
2024-05-03,34.95,22.77,36.02,24.31,0.0,10.5,13.32,240.05,6.96,25,Surabaya,Tidak Hujan,7,Baik,72,1011
2024-05-04,34.86,22.73,35.94,24.28,0.0,10.45,13.2,239.9,6.95,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-05,34.86,22.65,35.92,24.21,0.0,10.47,13.16,239.9,6.95,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-06,34.84,22.6,35.87,24.21,0.0,10.52,13.17,239.93,6.95,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-07,34.87,22.62,35.9,24.21,0.0,10.58,13.21,240.06,6.96,50,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-08,34.82,22.66,35.88,24.2,0.0,10.55,13.16,240.23,6.95,50,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-09,34.78,22.69,35.87,24.21,0.0,10.5,13.14,240.32,6.95,50,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-10,34.7,22.7,35.8,24.21,0.0,10.37,13.06,239.99,6.94,50,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-11,34.58,22.84,35.71,24.3,0.0,10.23,12.91,239.99,6.93,50,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-12,34.54,22.88,35.68,24.34,0.0,10.15,12.83,239.95,6.93,50,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-13,34.5,22.9,35.66,24.35,0.0,10.1,12.8,239.99,6.92,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-14,34.5,22.89,35.66,24.35,0.0,10.13,12.82,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-15,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-16,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-17,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-18,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-19,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-20,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-21,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-22,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-23,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-24,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-25,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-26,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-27,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-28,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-29,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-30,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-05-31,34.5,22.89,35.66,24.35,0.0,10.14,12.83,239.99,6.93,10,Surabaya,Tidak Hujan,7,Baik,72,1010
2024-06-01,31.764516,26.790938,30.342137,22.610565,6.568472,14.654763,12.593816,151.782806,6.012543,150,Surabaya,Tidak Hujan,7.525501,Sedang,76.516086,1008.835921
2024-06-02,30.407981,25.968602,30.852331,23.361868,0.207908,13.791550,11.517608,112.584674,5.498807,150,Surabaya,Tidak Hujan,7.994326,Sedang,77.940428,1009.670603
2024-06-03,32.748369,25.867512,31.777002,23.111818,4.195610,13.238493,12.000494,228.463126,5.324393,25,Surabaya,Tidak Hujan,8.236940,Sedang,81.168752,1008.411130
2024-06-04,30.706173,26.541315,31.026402,22.618671,0.000000,12.879793,12.023253,195.968846,6.331291,200,Surabaya,Tidak Hujan,8.375533,Baik,77.011681,1008.196349
2024-06-05,32.551600,26.471927,33.056086,22.380907,3.585573,18.069450,11.547565,108.995166,6.680650,200,Surabaya,Tidak Hujan,9.155416,Baik,75.313063,1010.457813
2024-06-06,30.088195,25.435745,30.938883,22.091150,1.261899,14.619047,14.079251,192.518659,6.075480,25,Surabaya,Tidak Hujan,8.204561,Baik,77.531776,1010.510006
2024-06-07,32.846566,24.717145,31.428588,23.366606,12.012543,20.091763,10.604618,171.189574,5.432857,150,Surabaya,Tidak Hujan,7.747978,Baik,84.053896,1010.514660
2024-06-08,34.020214,24.181822,34.502016,22.753890,2.376882,16.536971,11.554030,229.818817,4.869829,150,Surabaya,Tidak Hujan,8.514434,Baik,79.544719,1012.316886
2024-06-09,34.030545,26.069502,32.871032,22.115809,0.000000,16.890691,12.759902,234.331201,6.862590,10,Surabaya,Tidak Hujan,8.601550,Baik,76.541460,1008.196944
2024-06-10,33.003947,25.263595,33.064515,22.658602,0.000000,14.730303,13.601018,229.620021,5.034336,10,Surabaya,Tidak Hujan,7.568461,Baik,76.529329,1009.610663
2024-06-11,32.493060,25.962058,34.622543,23.238918,0.000000,11.231267,10.963212,185.008402,6.501569,150,Surabaya,Tidak Hujan,8.026410,Sedang,73.167380,1009.309489
2024-06-12,34.015264,25.642953,33.568285,22.695379,1.171801,15.753556,12.871788,247.288234,6.721473,50,Surabaya,Tidak Hujan,7.702737,Baik,76.812224,1011.666986
2024-06-13,31.791555,23.518600,34.195000,23.702758,2.784013,11.196020,11.096338,242.067332,6.230732,150,Surabaya,Tidak Hujan,8.270634,Baik,79.529944,1011.688825
2024-06-14,33.208151,25.932785,35.035443,21.831557,2.833320,18.066060,11.637505,257.420619,5.727931,25,Surabaya,Tidak Hujan,7.761001,Baik,77.301546,1008.625345
2024-06-15,31.391585,25.105156,31.439818,22.399676,0.000000,15.542848,11.458925,235.158332,6.760191,150,Surabaya,Tidak Hujan,7.382025,Baik,73.344498,1009.689620
2024-06-16,33.242967,23.468200,34.789182,23.364239,0.000000,13.623192,11.583361,234.331201,6.586616,150,Surabaya,Tidak Hujan,8.441999,Baik,74.795744,1008.790924
2024-06-17,32.316886,23.570912,32.969195,22.695846,0.000000,15.753232,12.756284,242.458021,6.960000,10,Surabaya,Tidak Hujan,8.192534,Baik,75.050517,1011.498877
2024-06-18,33.220197,25.210512,35.163459,23.854128,0.000000,16.516599,10.669818,228.618659,6.711802,150,Surabaya,Tidak Hujan,7.575094,Baik,74.607425,1009.697472
2024-06-19,30.345686,25.590059,33.003923,22.185202,0.000000,13.336449,14.618671,223.771978,6.862590,50,Surabaya,Tidak Hujan,7.854839,Baik,77.420803,1010.551694
2024-06-20,32.189569,25.045053,32.618454,23.351230,0.000000,10.457802,12.222305,200.730245,6.012543,150,Surabaya,Tidak Hujan,8.236940,Sedang,76.840742,1008.411130
2024-06-21,30.360341,26.471927,33.239247,22.846517,0.000000,14.391671,11.834444,171.189574,6.501569,150,Surabaya,Tidak Hujan,7.886001,Baik,77.531776,1010.510006
2024-06-22,30.706173,25.021021,32.969195,22.091150,0.000000,14.730303,13.601018,235.158332,6.711802,10,Surabaya,Tidak Hujan,8.601550,Baik,77.301546,1008.196944
2024-06-23,32.551600,26.541315,34.789182,23.854128,0.000000,18.069450,11.517608,192.518659,6.586616,200,Surabaya,Tidak Hujan,7.525501,Sedang,81.168752,1009.670603
2024-06-24,31.764516,25.867512,33.056086,22.185202,0.000000,13.238493,12.593816,223.771978,6.862590,25,Surabaya,Tidak Hujan,8.204561,Baik,73.167380,1008.835921
2024-06-25,30.407981,25.435745,31.777002,23.238918,0.207908,13.791550,12.000494,151.782806,6.012543,150,Surabaya,Tidak Hujan,7.702737,Baik,77.940428,1009.610663
2024-06-26,32.748369,26.790938,31.026402,22.695379,4.195610,14.654763,11.547565,112.584674,5.498807,150,Surabaya,Tidak Hujan,7.761001,Baik,76.516086,1009.670603
2024-06-27,30.706173,25.968602,30.852331,23.361868,0.000000,13.791550,12.023253,228.463126,5.324393,200,Surabaya,Tidak Hujan,8.375533,Baik,77.011681,1008.411130
2024-06-28,32.551600,26.541315,31.777002,22.618671,3.585573,18.069450,12.000494,195.968846,6.331291,200,Surabaya,Tidak Hujan,9.155416,Baik,75.313063,1010.457813
2024-06-29,30.088195,26.471927,33.056086,22.380907,1.261899,18.069450,11.547565,108.995166,6.680650,25,Surabaya,Tidak Hujan,8.236940,Baik,75.313063,1010.457813
2024-06-30,32.846566,25.435745,30.938883,22.091150,12.012543,14.619047,14.079251,192.518659,6.075480,150,Surabaya,Tidak Hujan,8.204561,Baik,77.531776,1010.510006
2024-07-01,34.020214,24.717145,31.428588,23.366606,2.376882,20.091763,10.604618,171.189574,5.432857,150,Surabaya,Tidak Hujan,7.747978,Baik,84.053896,1010.514660
2024-07-02,34.030545,24.181822,34.502016,22.753890,2.376882,16.536971,11.554030,229.818817,4.869829,150,Surabaya,Tidak Hujan,8.514434,Baik,79.544719,1012.316886
2024-07-03,33.003947,26.069502,32.871032,22.115809,0.000000,16.890691,12.759902,234.331201,6.862590,10,Surabaya,Tidak Hujan,8.601550,Baik,76.541460,1008.196944
2024-07-04,32.493060,25.263595,33.064515,22.658602,0.000000,14.730303,13.601018,229.620021,5.034336,10,Surabaya,Tidak Hujan,7.568461,Baik,76.529329,1009.610663
2024-07-05,34.015264,25.962058,34.622543,23.238918,0.000000,11.231267,10.963212,185.008402,6.501569,150,Surabaya,Tidak Hujan,8.026410,Sedang,73.167380,1009.309489
2024-07-06,31.791555,25.642953,33.568285,22.695379,1.171801,15.753556,12.871788,247.288234,6.721473,50,Surabaya,Tidak Hujan,7.702737,Baik,76.812224,1011.666986
2024-07-07,33.208151,23.518600,34.195000,23.702758,2.784013,11.196020,11.096338,242.067332,6.230732,150,Surabaya,Tidak Hujan,8.270634,Baik,79.529944,1011.688825
2024-07-08,31.391585,25.932785,35.035443,21.831557,2.833320,18.066060,11.637505,257.420619,5.727931,25,Surabaya,Tidak Hujan,7.761001,Baik,77.301546,1008.625345
2024-07-09,33.242967,25.105156,31.439818,22.399676,0.000000,15.542848,11.458925,235.158332,6.760191,150,Surabaya,Tidak Hujan,7.382025,Baik,73.344498,1009.689620
2024-07-10,32.316886,23.468200,34.789182,23.364239,0.000000,13.623192,11.583361,234.331201,6.586616,150,Surabaya,Tidak Hujan,8.441999,Baik,74.795744,1008.790924
2024-07-11,33.220197,23.570912,32.969195,22.695846,0.000000,15.753232,12.756284,242.458021,6.960000,10,Surabaya,Tidak Hujan,8.192534,Baik,75.050517,1011.498877
2024-07-12,30.345686,25.210512,35.163459,23.854128,0.000000,16.516599,10.669818,228.618659,6.711802,150,Surabaya,Tidak Hujan,7.575094,Baik,74.607425,1009.697472
2024-07-13,32.189569,25.590059,33.003923,22.185202,0.000000,13.336449,14.618671,223.771978,6.862590,50,Surabaya,Tidak Hujan,7.854839,Baik,77.420803,1010.551694
2024-07-14,30.360341,25.045053,32.618454,23.351230,0.000000,10.457802,12.222305,200.730245,6.012543,150,Surabaya,Tidak Hujan,8.236940,Sedang,76.840742,1008.411130
2024-07-15,31.764516,26.471927,33.239247,22.846517,0.000000,14.391671,11.834444,171.189574,6.501569,150,Surabaya,Tidak Hujan,7.886001,Baik,77.531776,1010.510006
2024-07-16,30.407981,25.021021,32.969195,22.091150,0.207908,14.730303,13.601018,235.158332,6.711802,10,Surabaya,Tidak Hujan,8.601550,Baik,77.301546,1008.196944
