MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Temp,RainTomorrow
8,24.3,NW,30,29,23.6,Yes
14,26.9,ENE,39,36,25.7,Yes
13.7,23.4,NW,85,69,20.2,Yes
13.3,15.5,NW,54,56,14.1,Yes
7.6,16.1,SSE,50,49,15.4,No
6.2,16.9,SE,44,57,14.8,No
6.1,18.2,SE,43,47,17.3,No
8.3,17,E,41,57,15.5,No
8.8,19.5,S,48,48,18.9,Yes
8.4,22.8,E,31,32,21.7,No
9.1,25.2,N,30,34,24,No
8.5,27.3,E,41,35,26,No
10.1,27.9,WNW,30,29,27.1,No
12.1,30.9,NW,44,20,30.7,No
10.1,31.2,NW,41,16,30.4,No
12.4,32.1,E,46,22,30.7,No
13.8,31.2,ESE,44,23,29.8,Yes
11.7,30,S,52,26,28.6,No
12.4,32.3,E,39,25,31.2,No
15.6,33.4,NE,33,27,32,No
15.3,33.4,WNW,59,26,32.8,No
16.4,19.4,E,26,72,18.3,Yes
12.8,18.5,ESE,28,79,16.8,No
12,24.3,NNE,26,57,22.8,No
15.4,28.4,ENE,33,31,27.3,No
15.6,26.9,E,41,48,25.1,No
13.3,22.2,ENE,39,55,21.2,No
12.9,28,S,52,31,26.7,No
15.1,24.3,SE,39,80,19.7,No
13.6,24.1,NNW,30,49,23.2,Yes
15.1,20.4,SSE,41,90,16.3,Yes
11.6,26.3,NNE,41,46,25.2,No
16.6,24.2,NW,50,60,19.9,Yes
13.3,26.5,NW,50,40,25.1,No
14.5,21.8,ENE,43,63,20.5,No
16.3,26.8,ENE,39,54,24.5,No
17.2,25.8,SW,41,74,22.6,Yes
16.5,28.2,NE,39,42,26.3,No
15,29.4,NW,43,24,28.6,No
14.9,24.8,NNW,35,37,22.9,No
11.8,18.5,ENE,35,63,16.4,No
11.7,21.5,ENE,41,51,19.4,No
9.6,20.3,SE,39,49,19.2,No
8.9,27.1,E,35,37,25,No
10.1,29.9,E,41,36,29.1,Yes
15.5,21.1,S,31,86,20,Yes
10.8,21.7,ESE,48,40,20.8,No
7.5,20.9,ENE,39,43,19.8,No
12.8,21,NE,22,54,20,Yes
12.6,23.1,NNW,30,74,20.4,Yes
14.8,29.5,N,41,48,28.2,Yes
19.9,22,NNW,76,62,19.6,Yes
9.2,20.4,ENE,39,49,18.8,No
12.4,24.4,NW,44,43,22.5,Yes
11.3,21.7,E,41,52,21,No
9.8,26.3,NNW,41,35,23.9,No
14.3,26.7,NNW,65,64,19,Yes
15.1,28.3,NNW,28,44,27.4,No
14.4,31.6,NNW,30,30,30.3,No
15.4,35,E,39,18,34.3,No
13.8,33.5,NE,31,20,32.2,No
13.6,34.2,NNE,35,20,31.8,No
14.3,35,ESE,41,14,33.6,No
15.9,23.4,ESE,50,55,22.3,No
16.7,25.3,ESE,46,45,23.9,No
12.1,27.5,NE,35,40,26.8,No
14.3,34.1,ENE,39,34,31.9,No
16.5,33.9,ENE,39,36,31.3,No
16.5,30.3,E,46,44,28,No
17.5,29.9,E,43,45,27.9,No
14.7,34.2,NE,33,25,32.2,No
17.5,35.8,SSE,57,24,34.5,No
20.9,35.7,SW,50,28,34,Yes
17,33.8,WNW,52,35,31.8,No
16,22.8,E,50,57,21.6,No
15.4,33.8,W,35,26,31.7,No
17.9,33.2,N,59,62,23.5,Yes
15.2,25.1,E,46,42,23.9,No
15.1,20.4,ESE,39,55,19.4,Yes
15.3,19.6,NE,33,88,18.6,Yes
17.2,24.7,NW,50,71,21.9,No
15.9,19.9,E,48,58,18.6,No
10,22.5,E,33,46,22.2,No
9.9,24.4,NE,28,38,22.7,No
10.3,27.8,ENE,35,29,26.3,No
15.4,25.7,E,41,32,24.6,No
12.7,28.8,NNE,28,28,28.3,No
13.2,31.3,WSW,46,28,30.7,No
15.3,33.2,NNW,44,18,32.1,No
17.9,33.9,ENE,46,22,32.3,No
18,34.9,NW,69,29,33.1,Yes
17.6,27.8,ESE,39,49,26.3,Yes
16,23.8,SSE,30,49,22.9,No
14.9,28.8,NNE,30,44,27,No
17.1,29.6,E,48,38,29.1,Yes
18.2,22.6,ENE,33,76,22.1,Yes
16.8,22.8,ESE,30,71,21.5,No
13.6,27.4,W,52,41,26.5,No
14.5,24.2,SSW,61,76,20.3,Yes
12.4,19.9,ENE,41,58,18.7,No
10.4,20.9,SSE,33,51,18.7,No
9.1,23.1,ENE,41,37,21.4,No
8.9,26,NE,31,34,24.2,Yes
14.5,24.2,W,48,60,22.6,Yes
12.6,18.2,ENE,30,73,16.8,No
8.6,24.2,E,33,37,22,No
10.8,25.2,ENE,35,32,24.3,No
11.2,26.1,ENE,39,40,24.7,No
12.1,24.1,ENE,46,46,22.5,No
10.8,25.8,E,31,42,24.1,No
11.4,27.1,NE,33,38,26.1,No
12,28.9,ESE,39,31,28.6,Yes
16.3,24.8,S,50,56,24,Yes
12.7,28.6,W,50,42,27.4,No
12.7,25.1,NW,46,32,24.5,No
12,23.8,NW,44,34,22.9,No
11.5,25.9,ENE,44,35,24.3,No
13,28.2,NW,44,27,27,No
